[2023-07-17 10:00:00] {"level": "INFO", "message": "Application started."}
[2023-07-17 10:01:15] {"level": "ERROR", "message": "An unexpected error occurred."}
[2023-07-17 10:02:30] {"level": "WARN", "message": "Deprecated function called."}
[2023-07-17 10:03:45] {"level": "INFO", "message": "Request processed successfully."}
[2023-07-17 10:04:10] {"level": "DEBUG", "message": "Processing step 1."}
[2023-07-17 10:05:25] {"level": "ERROR", "message": "Database connection failed."}
[2023-07-17 10:06:40] {"level": "INFO", "message": "User logged in."}
[2023-07-17 10:06:40] {"level": "INFO", "message": "User logged in."}
[2023-07-17 10:06:40] {"level": "INFO", "message": "User logged in."}
[2023-07-17 10:06:40] {"level": "INFO", "message": "User logged in."}
[2023-07-17 10:06:40] {"level": "INFO", "message": "User logged in."}
[2023-07-17 10:06:40] {"level": "INFO", "message": "User logged in."}
